Temporada,home_team_api_id,away_team_api_id,B365H,B365A,date,home_team_goal,away_team_goal,odd_team_win,Team_win
2008/2009,8571,9991,4,1.83,2009-05-09 00:00:00,0,2,1.83,1
2008/2009,8635,9999,1.14,19,2009-05-09 00:00:00,3,1,1.14,1
2008/2009,9987,8635,8,1.4,2009-05-16 00:00:00,0,2,1.4,1
2008/2009,9991,9985,4.33,1.67,2009-05-16 00:00:00,0,1,4.33,0
2008/2009,9985,8571,1.17,10,2008-09-13 00:00:00,2,0,1.17,1
2008/2009,9998,8635,5.75,1.5,2008-09-13 00:00:00,1,2,1.5,1
2008/2009,9996,9991,2.88,2.25,2008-09-13 00:00:00,4,2,2.25,0
2008/2009,8635,9986,1.4,8,2008-09-19 00:00:00,2,0,1.4,1
2008/2009,9991,8203,1.36,7.5,2008-09-20 00:00:00,1,2,1.36,0
2008/2009,4049,9985,6.5,1.44,2008-09-21 00:00:00,0,1,1.44,1
2008/2009,9985,8635,2.1,3.4,2008-09-26 00:00:00,2,1,2.1,1
2008/2009,9993,9991,2.25,3.1,2008-09-28 00:00:00,2,2,3.1,0
2008/2009,8635,9996,1.44,6.5,2008-10-03 00:00:00,2,1,1.44,1
2008/2009,9984,9985,3.3,2.2,2008-10-05 00:00:00,4,1,2.2,0
2008/2009,9991,9994,1.62,5,2008-10-04 00:00:00,1,1,1.62,0
2008/2009,9985,9998,1.2,13,2008-10-18 00:00:00,2,1,1.2,1
2008/2009,10000,8635,4.75,1.75,2008-10-19 00:00:00,4,0,1.75,0
2008/2009,4049,9991,5.5,1.57,2008-10-18 00:00:00,0,1,1.57,1
2008/2009,8635,8203,1.29,10,2008-10-25 00:00:00,7,1,1.29,1
2008/2009,9987,9985,2.9,2.4,2008-10-26 00:00:00,0,0,2.4,0
2008/2009,9991,8342,2.8,2.5,2008-10-26 00:00:00,3,0,2.8,1
2008/2009,10260,10261,1.29,11,2008-08-17 00:00:00,1,1,1.29,0
2008/2009,9825,8659,1.2,15,2008-08-16 00:00:00,1,0,1.2,1
2008/2009,8472,8650,5.5,1.67,2008-08-16 00:00:00,0,1,1.67,1
2008/2009,8455,8462,1.33,10,2008-08-17 00:00:00,4,0,1.33,1
2008/2009,10260,8654,1.2,19,2008-10-29 00:00:00,2,0,1.2,1
2008/2009,9825,8586,1.44,7.5,2008-10-29 00:00:00,4,4,1.44,0
2008/2009,8667,8455,8,1.44,2008-10-29 00:00:00,0,3,1.44,1
2008/2009,8650,8462,1.33,10,2008-10-29 00:00:00,1,0,1.33,1
2008/2009,10260,8667,1.17,17,2008-11-01 00:00:00,4,3,1.17,1
2008/2009,8586,8650,3.5,2.1,2008-11-01 00:00:00,2,1,2.1,0
2008/2009,10194,9825,8,1.4,2008-11-01 00:00:00,2,1,1.4,0
2008/2009,8455,8472,1.17,21,2008-11-01 00:00:00,5,0,1.17,1
2008/2009,9825,10260,3.25,2.3,2008-11-08 00:00:00,2,1,3.25,1
2008/2009,8650,8659,1.2,19,2008-11-08 00:00:00,3,0,1.2,1
2008/2009,8655,8455,8,1.44,2008-11-09 00:00:00,0,2,1.44,1
2008/2009,10260,10194,1.14,23,2008-11-15 00:00:00,5,0,1.14,1
2008/2009,9825,10252,1.5,7,2008-11-15 00:00:00,0,2,1.5,0
2008/2009,8559,8650,6,1.62,2008-11-15 00:00:00,0,2,1.62,1
2008/2009,8659,8455,12,1.3,2008-11-15 00:00:00,0,3,1.3,1
2008/2009,8650,9879,1.25,15,2008-11-22 00:00:00,0,0,1.25,0
2008/2009,10252,10260,5,1.73,2008-11-22 00:00:00,0,0,1.73,0
2008/2009,8456,9825,3.25,2.2,2008-11-22 00:00:00,3,0,2.2,0
2008/2009,8455,10261,1.2,19,2008-11-22 00:00:00,0,0,1.2,0
2008/2009,8650,8654,1.3,12,2008-12-01 00:00:00,0,0,1.3,0
2008/2009,8456,10260,4.33,1.83,2008-11-30 00:00:00,0,1,1.83,1
2008/2009,8455,9825,1.8,5,2008-11-30 00:00:00,1,2,1.8,0
2008/2009,10260,8472,1.14,23,2008-12-06 00:00:00,1,0,1.14,1
2008/2009,9825,8528,1.33,11,2008-12-06 00:00:00,1,0,1.33,1
2008/2009,8655,8650,5.5,1.73,2008-12-06 00:00:00,1,3,1.73,1
2008/2009,8559,8455,7,1.53,2008-12-06 00:00:00,0,2,1.53,1
2008/2009,8650,8667,1.33,10,2008-12-13 00:00:00,2,2,1.33,0
2008/2009,8586,10260,4.5,1.83,2008-12-13 00:00:00,0,0,1.83,0
2008/2009,8549,9825,4.5,1.8,2008-12-13 00:00:00,1,1,1.8,0
2008/2009,8455,8654,1.25,15,2008-12-14 00:00:00,1,1,1.25,0
2008/2009,10260,8528,1.2,15,2009-01-14 00:00:00,1,0,1.2,1
2008/2009,9825,8650,2.4,3,2008-12-21 00:00:00,1,1,2.4,0
2008/2009,8668,8455,5,1.73,2008-12-22 00:00:00,0,0,1.73,0
2008/2009,8650,8559,1.33,12,2008-12-26 00:00:00,3,0,1.33,1
2008/2009,10252,9825,2.5,2.87,2008-12-26 00:00:00,2,2,2.87,0
2008/2009,10194,10260,12,1.3,2008-12-26 00:00:00,0,1,1.3,1
2008/2009,8455,8659,1.14,21,2008-12-26 00:00:00,2,0,1.14,1
2008/2009,8650,8549,1.36,10,2008-08-23 00:00:00,2,1,1.36,1
2008/2009,9879,9825,6.5,1.57,2008-08-23 00:00:00,1,0,1.57,0
2008/2009,8462,10260,4.8,1.8,2008-08-25 00:00:00,0,1,1.8,1
2008/2009,8528,8455,8.5,1.4,2008-08-24 00:00:00,0,1,1.4,1
2008/2009,10260,8549,1.2,19,2008-12-29 00:00:00,1,0,1.2,1
2008/2009,9825,8462,1.4,10,2008-12-28 00:00:00,1,0,1.4,1
2008/2009,10261,8650,5,1.8,2008-12-28 00:00:00,1,5,1.8,1
2008/2009,9879,8455,6.5,1.61,2008-12-28 00:00:00,2,2,1.61,0
2008/2009,10260,8455,2.2,3.5,2009-01-11 00:00:00,3,0,2.2,1
2008/2009,9825,8559,1.36,11,2009-01-10 00:00:00,1,0,1.36,1
2008/2009,10194,8650,10,1.36,2009-01-10 00:00:00,0,0,1.36,0
2008/2009,8650,8668,1.62,6,2009-01-19 00:00:00,1,1,1.62,0
2008/2009,8559,10260,8,1.5,2009-01-17 00:00:00,0,1,1.5,1
2008/2009,8667,9825,5.5,1.62,2009-01-17 00:00:00,1,3,1.62,1
2008/2009,8455,10194,1.2,15,2009-01-17 00:00:00,2,1,1.2,1
2008/2009,8659,10260,10,1.36,2009-01-27 00:00:00,0,5,1.36,1
2008/2009,8528,8650,5,1.83,2009-01-28 00:00:00,1,1,1.83,0
2008/2009,8668,9825,3,2.5,2009-01-28 00:00:00,1,1,2.5,0
2008/2009,8455,8549,1.25,15,2009-01-28 00:00:00,2,0,1.25,1
2008/2009,10260,8668,1.36,10,2009-01-31 00:00:00,1,0,1.36,1
2008/2009,9825,8654,1.5,7,2009-01-31 00:00:00,0,0,1.5,0
2008/2009,8650,8455,2.5,3.1,2009-02-01 00:00:00,2,0,2.5,1
2008/2009,8586,9825,3,2.4,2009-02-08 00:00:00,0,0,2.4,0
2008/2009,8654,10260,6.5,1.57,2009-02-08 00:00:00,0,1,1.57,1
2008/2009,8462,8650,5,1.8,2009-02-07 00:00:00,2,3,1.8,1
2008/2009,8455,8667,1.2,19,2009-02-07 00:00:00,0,0,1.2,0
2008/2009,10260,8655,1.25,13,2009-02-21 00:00:00,2,1,1.25,1
2008/2009,9825,8472,1.4,9,2009-02-21 00:00:00,0,0,1.4,0
2008/2009,8650,8456,1.57,7,2009-02-22 00:00:00,1,1,1.57,0
2008/2009,10252,8455,3.3,2.25,2009-02-21 00:00:00,0,1,2.25,1
2008/2009,10260,8462,1.25,13,2009-04-22 00:00:00,2,0,1.25,1
2008/2009,9825,9879,1.4,9,2009-02-28 00:00:00,0,0,1.4,0
2008/2009,8549,8650,5.5,1.72,2009-02-28 00:00:00,2,0,1.72,0
2008/2009,8455,8528,1.28,13,2009-02-28 00:00:00,2,1,1.28,1
2008/2009,8659,9825,6.5,1.57,2009-03-03 00:00:00,1,3,1.57,1
2008/2009,8462,8455,6.5,1.57,2009-03-03 00:00:00,0,1,1.57,1
2008/2009,8650,8472,1.4,9.5,2009-03-03 00:00:00,2,0,1.4,1
2008/2009,10261,10260,7.5,1.5,2009-03-04 00:00:00,1,2,1.5,1
2008/2009,10260,8650,1.91,4.5,2009-03-14 00:00:00,1,4,1.91,0
2008/2009,9825,8655,1.44,8,2009-03-14 00:00:00,4,0,1.44,1
2008/2009,8455,8456,1.4,9,2009-03-15 00:00:00,1,0,1.4,1
2008/2009,10260,9879,1.25,13,2009-02-18 00:00:00,3,0,1.25,1
2008/2009,9825,10261,1.44,9,2008-08-30 00:00:00,3,0,1.44,1
2008/2009,10252,8650,3,2.4,2008-08-31 00:00:00,0,0,2.4,0
2008/2009,8455,8586,1.4,9,2008-08-31 00:00:00,1,1,1.4,0
2008/2009,8650,10252,1.44,8,2009-03-22 00:00:00,5,0,1.44,1
2008/2009,8586,8455,4.5,1.83,2009-03-21 00:00:00,1,0,1.83,0
2008/2009,10261,9825,5,1.72,2009-03-21 00:00:00,1,3,1.72,1
2008/2009,9879,10260,8,1.44,2009-03-21 00:00:00,2,0,1.44,0
2008/2009,10260,10252,1.4,9,2009-04-05 00:00:00,3,2,1.4,1
2008/2009,9825,8456,1.53,7.5,2009-04-04 00:00:00,2,0,1.53,1
2008/2009,10261,8455,5,1.72,2009-04-04 00:00:00,0,2,1.72,1
2008/2009,9879,8650,6,1.61,2009-04-04 00:00:00,0,1,1.61,1
2008/2009,8650,8655,1.33,11,2009-04-11 00:00:00,4,0,1.33,1
2008/2009,8472,10260,7.5,1.5,2009-04-11 00:00:00,1,2,1.5,1
2008/2009,8528,9825,5.25,1.73,2009-04-11 00:00:00,1,4,1.73,1
2008/2009,8455,8559,1.25,15,2009-04-11 00:00:00,4,3,1.25,1
2008/2009,8650,9825,1.72,5,2009-04-21 00:00:00,4,4,1.72,0
2008/2009,8528,10260,12,1.3,2009-05-13 00:00:00,1,2,1.3,1
2008/2009,8455,8668,1.44,8.5,2009-04-22 00:00:00,0,0,1.44,0
2008/2009,10260,8586,1.44,9,2009-04-25 00:00:00,5,2,1.44,1
2008/2009,9825,8549,1.5,7.5,2009-04-26 00:00:00,2,0,1.5,1
2008/2009,8654,8455,4.75,1.85,2009-04-25 00:00:00,0,1,1.85,1
2008/2009,8667,8650,10,1.36,2009-04-25 00:00:00,1,3,1.36,1
2008/2009,8650,10261,1.25,13,2009-05-03 00:00:00,3,0,1.25,1
2008/2009,8549,10260,6.5,1.57,2009-05-02 00:00:00,0,2,1.57,1
2008/2009,8462,9825,3.2,2.3,2009-05-02 00:00:00,0,3,2.3,1
2008/2009,8455,9879,1.53,7,2009-05-02 00:00:00,3,1,1.53,1
2008/2009,10260,8456,1.36,9.5,2009-05-10 00:00:00,2,0,1.36,1
2008/2009,9825,8455,2.6,2.8,2009-05-10 00:00:00,1,4,2.6,0
2008/2009,8654,8650,6.5,1.57,2009-05-09 00:00:00,0,3,1.57,1
2008/2009,10260,9825,1.67,6,2009-05-16 00:00:00,0,0,1.67,0
2008/2009,8659,8650,7,1.4,2009-05-17 00:00:00,0,2,1.4,1
2008/2009,8455,8655,1.3,11,2009-05-17 00:00:00,2,0,1.3,1
2008/2009,9825,10194,1.33,10,2009-05-24 00:00:00,4,1,1.33,1
2008/2009,8650,8586,1.53,6.5,2009-05-24 00:00:00,3,1,1.53,1
2008/2009,8472,8455,4,1.91,2009-05-24 00:00:00,2,3,1.91,1
2008/2009,8667,10260,3,2.3,2009-05-24 00:00:00,0,1,2.3,1
2008/2009,8650,10260,3,2.6,2008-09-13 00:00:00,2,1,3.0,1
2008/2009,8456,8455,4.33,1.91,2008-09-13 00:00:00,1,3,1.91,1
2008/2009,8655,9825,4.5,1.83,2008-09-13 00:00:00,0,4,1.83,1
2008/2009,8650,10194,1.2,15,2008-09-20 00:00:00,0,0,1.2,0
2008/2009,8559,9825,6.5,1.57,2008-09-20 00:00:00,1,3,1.57,1
2008/2009,8455,10260,2.2,3.6,2008-09-21 00:00:00,1,1,2.2,0
2008/2009,10260,8559,1.22,15,2008-09-27 00:00:00,2,0,1.22,1
2008/2009,9825,8667,1.2,17,2008-09-27 00:00:00,1,2,1.2,0
2008/2009,8668,8650,3.75,2.1,2008-09-27 00:00:00,0,2,2.1,1
2008/2009,10194,8455,9,1.36,2008-09-27 00:00:00,0,2,1.36,1
2008/2009,8472,9825,6,1.62,2008-10-04 00:00:00,1,1,1.62,0
2008/2009,8456,8650,3.2,2.25,2008-10-05 00:00:00,2,3,2.25,1
2008/2009,8655,10260,6,1.62,2008-10-04 00:00:00,0,2,1.62,1
2008/2009,8455,10252,1.5,7,2008-10-05 00:00:00,2,0,1.5,1
2008/2009,10260,8659,1.2,15,2008-10-18 00:00:00,4,0,1.2,1
2008/2009,9825,8668,1.36,10,2008-10-18 00:00:00,3,1,1.36,1
2008/2009,8650,8528,1.4,9,2008-10-18 00:00:00,3,2,1.4,1
2008/2009,8549,8455,6,1.62,2008-10-18 00:00:00,0,5,1.62,1
2008/2009,8654,9825,6,1.62,2008-10-26 00:00:00,0,2,1.62,1
2008/2009,8668,10260,7.5,1.5,2008-10-25 00:00:00,1,1,1.5,0
2008/2009,8455,8650,1.91,4.5,2008-10-26 00:00:00,0,1,1.91,0
2008/2009,9829,9847,2.4,3.1,2008-08-09 00:00:00,1,0,3.1,0
2008/2009,8592,9847,1.83,4.5,2008-10-26 00:00:00,2,4,4.5,1
2008/2009,9847,9941,1.75,5.5,2008-10-29 00:00:00,0,1,1.75,0
2008/2009,9831,9847,2.6,3,2008-11-01 00:00:00,1,0,3.0,0
2008/2009,9847,8639,2.2,3.6,2008-11-09 00:00:00,1,0,2.2,1
2008/2009,9746,9847,3.3,2.3,2008-11-15 00:00:00,1,3,2.3,1
2008/2009,9847,9748,3.2,2.4,2008-11-22 00:00:00,1,0,3.2,1
2008/2009,9851,9847,2.25,3.5,2008-11-30 00:00:00,1,0,3.5,0
2008/2009,9847,8682,1.8,5,2008-12-07 00:00:00,3,1,1.8,1
2008/2009,8583,9847,2.75,2.8,2008-12-13 00:00:00,1,2,2.8,1
2008/2009,9847,9873,1.5,7.5,2008-12-21 00:00:00,2,2,1.5,0
2008/2009,9847,9827,2.38,3.3,2008-08-16 00:00:00,1,0,2.38,1
2008/2009,9827,9847,1.91,4.2,2009-01-11 00:00:00,4,0,4.2,0
2008/2009,9847,9874,1.62,6,2009-01-18 00:00:00,2,1,1.62,1
2008/2009,9847,7819,1.6,6.5,2009-01-31 00:00:00,2,0,1.6,1
2008/2009,9830,9847,3.1,2.4,2009-02-07 00:00:00,1,4,2.4,1
2008/2009,9847,9853,1.7,6,2009-02-14 00:00:00,2,1,1.7,1
2008/2009,9855,9847,4,2.05,2009-02-21 00:00:00,0,0,2.05,0
2008/2009,9847,8481,1.6,6.5,2009-03-01 00:00:00,4,1,1.6,1
2008/2009,8689,9847,3,2.37,2009-03-07 00:00:00,0,1,2.37,1
2008/2009,9847,8592,2.25,3.4,2009-03-15 00:00:00,1,3,2.25,0
2008/2009,9941,9847,2.37,3,2009-03-22 00:00:00,4,1,3.0,0
2008/2009,9874,9847,2.7,2.8,2008-08-23 00:00:00,1,1,2.8,0
2008/2009,9847,9831,1.66,5.75,2009-04-05 00:00:00,2,1,1.66,1
2008/2009,8639,9847,2.1,3.75,2009-04-12 00:00:00,0,0,3.75,0
2008/2009,9847,9746,1.25,13,2009-04-19 00:00:00,3,0,1.25,1
2008/2009,9748,9847,1.65,6,2009-04-24 00:00:00,0,0,6.0,0
2008/2009,9847,9851,1.8,4.75,2009-05-03 00:00:00,0,1,1.8,0
2008/2009,8682,9847,3.6,2.2,2009-05-13 00:00:00,0,1,2.2,1
2008/2009,9847,8583,1.53,7.5,2009-05-16 00:00:00,1,2,1.53,0
2008/2009,9873,9847,3.75,2,2009-05-23 00:00:00,2,1,2.0,0
2008/2009,9847,9829,1.44,7,2009-05-30 00:00:00,0,0,1.44,0
2008/2009,7819,9847,2.5,3,2008-08-30 00:00:00,0,1,3.0,1
2008/2009,9847,9830,1.57,7,2008-09-14 00:00:00,1,0,1.57,1
2008/2009,9853,9847,2.4,3.3,2008-09-21 00:00:00,1,0,3.3,0
2008/2009,9847,9855,1.57,7,2008-09-27 00:00:00,0,1,1.57,0
2008/2009,8481,9847,2.38,3.2,2008-10-05 00:00:00,1,1,3.2,0
2008/2009,9847,8689,1.62,6.5,2008-10-18 00:00:00,3,2,1.62,1
2008/2009,9823,9790,1.57,6,2008-08-15 00:00:00,2,2,1.57,0
2008/2009,9810,9823,6.5,1.57,2008-10-29 00:00:00,1,2,1.57,1
2008/2009,9823,9912,1.17,15,2008-11-01 00:00:00,3,1,1.17,1
2008/2009,10189,9823,2.8,2.5,2008-11-09 00:00:00,1,2,2.5,1
2008/2009,9788,9823,6.5,1.5,2008-11-15 00:00:00,2,2,1.5,0
2008/2009,9823,8398,1.17,15,2008-11-22 00:00:00,4,1,1.17,1
2008/2009,8178,9823,2.75,2.5,2008-11-29 00:00:00,0,2,2.5,1
2008/2009,9823,8226,1.62,5.5,2008-12-05 00:00:00,2,1,1.62,1
2008/2009,10269,9823,3.8,2,2008-12-13 00:00:00,2,2,2.0,0
2008/2009,9790,9823,3.8,2,2009-01-30 00:00:00,1,0,2.0,0
2008/2009,9823,9789,1.44,8,2009-02-08 00:00:00,3,1,1.44,1
2008/2009,9789,9823,3.4,2.15,2008-08-23 00:00:00,1,1,2.15,0
2008/2009,8177,9823,4,1.9,2009-02-14 00:00:00,2,1,1.9,0
2008/2009,9823,8722,1.25,12,2009-02-21 00:00:00,1,2,1.25,0
2008/2009,8697,9823,3.1,2.3,2009-03-01 00:00:00,0,0,2.3,0
2008/2009,9823,9904,1.33,9,2009-03-07 00:00:00,5,1,1.33,1
2008/2009,9911,9823,6,1.57,2009-03-14 00:00:00,0,3,1.57,1
2008/2009,9823,8295,1.14,17,2009-03-21 00:00:00,1,0,1.14,1
2008/2009,8721,9823,2.6,2.6,2009-04-04 00:00:00,5,1,2.6,0
2008/2009,9823,9810,1.33,9,2009-04-11 00:00:00,4,0,1.33,1
2008/2009,9912,9823,7,1.5,2009-04-18 00:00:00,0,1,1.5,1
2008/2009,9823,10189,1.61,5.5,2009-04-25 00:00:00,0,1,1.61,0
2008/2009,9823,8177,1.36,9,2008-08-31 00:00:00,4,1,1.36,1
2008/2009,9823,9788,1.28,9.5,2009-05-02 00:00:00,2,1,1.28,1
2008/2009,8398,9823,6.5,1.44,2009-05-09 00:00:00,1,3,1.44,1
2008/2009,9823,8178,1.33,9,2009-05-12 00:00:00,3,0,1.33,1
2008/2009,8226,9823,7,1.5,2009-05-16 00:00:00,2,2,1.5,0
2008/2009,9823,10269,1.67,4.5,2009-05-23 00:00:00,2,1,1.67,1
2008/2009,8722,9823,5.5,1.62,2008-09-13 00:00:00,0,3,1.62,1
2008/2009,9823,8697,1.73,5,2008-09-20 00:00:00,2,5,1.73,0
2008/2009,9904,9823,7,1.5,2008-09-27 00:00:00,1,0,1.5,0
2008/2009,9823,9911,1.25,12,2008-10-04 00:00:00,3,3,1.25,0
2008/2009,8295,9823,5.5,1.62,2008-10-18 00:00:00,0,1,1.62,1
2008/2009,9823,8721,1.57,5.75,2008-10-25 00:00:00,4,2,1.57,1
2008/2009,8535,9885,2.75,2.75,2008-08-31 00:00:00,1,1,2.75,0
2008/2009,9885,8686,2.2,3.75,2008-11-01 00:00:00,2,0,2.2,1
2008/2009,8533,9885,6.5,1.57,2008-11-09 00:00:00,0,2,1.57,1
2008/2009,9885,10233,1.57,7,2008-11-13 00:00:00,4,1,1.57,1
2008/2009,8636,9885,2.1,3.75,2008-11-22 00:00:00,1,0,3.75,0
2008/2009,9885,8690,1.29,12,2008-11-29 00:00:00,4,0,1.29,1
2008/2009,9888,9885,5.5,1.73,2008-12-07 00:00:00,1,2,1.73,1
2008/2009,9885,8564,2.2,3.6,2008-12-14 00:00:00,4,2,2.2,1
2008/2009,8524,9885,4.5,1.95,2008-12-21 00:00:00,1,3,1.95,1
2008/2009,9885,8551,1.29,12,2009-01-11 00:00:00,1,0,1.29,1
2008/2009,8543,9885,3.4,2.25,2009-01-18 00:00:00,1,1,2.25,0
2008/2009,9885,8600,1.53,7,2008-09-14 00:00:00,1,0,1.53,1
2008/2009,9885,8535,1.66,6,2009-01-24 00:00:00,1,0,1.66,1
2008/2009,8600,9885,5,1.8,2009-01-28 00:00:00,2,1,1.8,0
2008/2009,9885,8529,1.36,9,2009-01-31 00:00:00,2,3,1.36,0
2008/2009,8530,9885,4.5,1.85,2009-02-08 00:00:00,1,2,1.85,1
2008/2009,9885,9882,1.5,7,2009-02-15 00:00:00,1,1,1.5,0
2008/2009,8540,9885,3.1,2.4,2009-02-21 00:00:00,0,2,2.4,1
2008/2009,9885,9875,1.6,6.5,2009-02-28 00:00:00,1,0,1.6,1
2008/2009,9804,9885,3.5,2.2,2009-03-07 00:00:00,0,1,2.2,1
2008/2009,9885,9857,1.4,9,2009-03-14 00:00:00,4,1,1.4,1
2008/2009,8686,9885,2.87,2.6,2009-03-21 00:00:00,1,4,2.6,1
2008/2009,8529,9885,6.25,1.62,2008-09-21 00:00:00,0,1,1.62,1
